Experimental_1,Experimental_2,Experimental_3,Experimental_4,Experimental_5,Model_1,Model_2,Model_3,Model_4,Model_5
72,15,20,9,17,8.6,9.1,10.7,8.4,1.7
81,144,112,13,31,13,9.8,29.4,11.7,2.3
10,92,125,32,36,13.2,28.4,32.1,14,3.5
169,96,233,36,67,37.6,29.2,32.5,14.1,3.8
141,76,93,45,81,37.8,29.3,34.9,15.9,4
62,88,16,58,92,38,30.5,35.4,16.5,5.2
197,156,115,120,116,38.6,33.6,35.6,19.2,6
10,152,105,138,118,71.5,36.7,35.9,28.5,6.2
148,135,227,170,120,72.8,46.1,46.7,36.2,6.6
107,45,61,175,156,78.2,78.1,47.7,48.4,8.3
72,224,210,236,225,79,80.8,54.9,50,9.7
271,246,283,249,228,81.6,84.7,57.6,55.9,10.1
165,81,55,256,240,83.2,87.2,87.3,57,10.2
74,13,144,259,255,88.4,87.6,97.2,58.8,11.8
180,133,54,266,266,90.2,88.1,117.7,59.9,12.3
65,147,171,269,276,94.2,88.4,122.2,65.3,12.6
159,126,179,279,279,99.1,89.6,123.3,67.9,13.6
183,9,65,282,,104.3,94.3,124.1,77.7,14.3
8,24,175,305,,107.1,127.4,130.3,77.8,16.2
180,188,40,307,,110.9,130,133.3,86.2,16.8
75,21,188,316,,111.1,131.7,133.9,88.8,17.8
255,104,88,353,,141.1,136.9,138.1,90.3,18.6
11,139,236,360,,145.7,139.9,142,91.8,18.8
13,26,81,364,,148.1,140,145.2,95,19.8
185,135,191,368,,150.3,141.1,145.3,96.1,20
195,32,127,373,,150.4,141.4,147,100,20.5
,175,106,376,,155,141.5,149.8,103.1,20.8
,184,21,376,,156.6,144.5,150.1,106.2,20.9
,49,120,402,,162.8,147,152.2,106.6,21.2
,16,106,404,,165.8,149.1,153.4,107.3,21.5
,106,21,432,,168.1,151.2,154.3,112.2,23.3
,95,139,432,,168.8,154.7,156.1,113.8,23.5
,87,107,438,,169.3,156,160.1,114.3,23.7
,94,22,434,,170.4,168.9,162.8,117.6,25.2
,12,31,451,,171.2,172.6,162.9,121.8,25.4
,102,141,471,,172.3,173.2,163.8,122.7,25.5
,134,28,484,,174.3,176.7,164,127.3,26.1
,48,114,478,,175.3,179.3,165.9,139,27
,26,43,479,,179.6,186.4,167,142.2,27.1
,24,,485,,180.6,201.7,169.9,147.8,27.2
,39,,481,,183.5,204.5,175.3,149.3,27.3
,50,,495,,184.3,204.9,176.4,151.7,28.4
,84,,,,185,205,179.5,153.2,29.3
,126,,,,185.8,209.1,190.7,153.6,29.5
,138,,,,186.6,209.3,194.4,154.2,30
,141,,,,197.5,209.7,194.6,154.8,31.7
,149,,,,212.5,210.9,207.2,157.6,32.9
,,,,,216,212.3,208.2,158.4,33.7
,,,,,216.6,212.8,215.6,161.4,33.8
,,,,,223,213.3,219.3,163.4,34.2
,,,,,226.5,213.8,221.7,165.1,34.4
,,,,,232.8,214.7,223.6,165.6,34.5
,,,,,234.8,214.9,224.2,166.1,34.6
,,,,,238.2,217.4,227,168,36.3
,,,,,243.4,218,227.4,168.3,36.7
,,,,,244.2,218.1,228.3,170.9,37.1
,,,,,244.5,225.1,228.8,174,37.6
,,,,,252.3,227.5,229,174.7,37.8
,,,,,252.6,231.4,232.8,176.9,38.3
,,,,,253.2,235.4,233,178.6,
,,,,,254,238.4,235.1,188.1,
,,,,,255.2,243.2,237.5,188.5,
,,,,,,244.5,242.8,189.5,
,,,,,,,246.5,190.1,
